ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part
1,ATMEGA32U4-AU,U1,QFP-44_L10.0-W10.0-P0.80-LS13.2-BL,1,ATMEGA32U4-AU,MICROCHIP,LCSC,C44854
2,PRTR5V0U2X,U2,SOT-143_L2.9-W1.3-P1.92-LS2.3-BL,1,PRTR5V0U2X,Yenji Elec,LCSC,C330092
3,16MHz,X1,OSC-SMD_4P-L5.0-W3.2-BL,1,X503216MSB4SI,Yangxing Tech,LCSC,C112586
4,TYPE-C,CN1,USB-C_SMD-TYPE-C-31-M-12,1,TYPE-C-31-M-12,Rectangular Connectors,LCSC,C165948
5,500mA,F1,F1206,1,MF-NSMF050-2,BOURNS,LCSC,C75464
6,3mm,LED1,LED-TH_BD3.8-P2.54-FD,1,204-10SYGD/S530-E3,EVERLIGHT,LCSC,C85161
7,10K,"R3,R4,R6,R7,R10",R0805,5,RC0805JR-0710KL,YAGEO,LCSC,C100047
8,5.1K,"R2,R5",R0805,2,RC0805JR-075K1L,YAGEO,LCSC,C105874
9,1K,"R1,R11",R0805,2,RC0805JR-071KL,YAGEO,LCSC,C100046
10,22,"R8,R9",R0805,2,RC0805JR-0722RL,YAGEO,LCSC,C108406
11,1uF,C6,C0805,1,CL21B105KBFNNNE,SAMSUNG,LCSC,C28323
12,470nF,C1,C0805,1,CL21B474KBFNNNE,SAMSUNG,LCSC,C13967
13,100nF,"C2,C3,C4,C5",C0805,4,CL21B104KBCNNNC,SAMSUNG,LCSC,C1711
14,10nF,"C7,C8",C0805,2,CL21B103KBANNNC,SAMSUNG,LCSC,C1710
15,22pF,"C9,C10",C0805,2,CL21C220JBANNNC,SAMSUNG,LCSC,C1804
16,1N4148,D1-D43,SOD-123_L2.8-W1.8-LS3.7-RD,43,FH1N4148W-JE,FH,LCSC,C105503
17,EC11,SW24,SW-TH_EC11E18244A5,1,EC11E18244A5,ALPS Electric,LCSC,C255515
18,3x6x2.5,KEY1,KEY-SMD_L6.1-W3.7-LS8.0,1,1TS002E-2400-2500,HYP,LCSC,C319365
